Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
31620,10441,1800,HPK,7.6,148.2,3.42,200,229,258,55491.51128477412,767.4653261918073,61798.90721709393,1075.6179308282997,1.105260588609027,0.00891073932679487,0.3195880577923919,0.006003340264762208,0.9951498710865868,0.0010101916924649124,1.298786369652522,1.3671435470026545,1.0398573261373047
31623,10441,2200,HPK,7.6,148.2,3.42,200,233,255,52311.809316098865,750.6123221258866,62916.747465549284,1093.254061012996,,,,,,,1.3128743522444504,,
31625,10441,2800,HPK,7.6,148.2,3.42,200,236,251,52034.83676649437,742.8244114453913,63965.90400356235,1093.7938796535343,,,,,,,,,
31628,10441,3400,HPK,7.6,148.2,3.42,200,237,250,52777.398089362556,748.860452196477,63907.59763506655,1094.3980302108966,,,,,,,,,
31630,10441,4000,HPK,7.6,148.2,3.42,200,236,250,52886.93346190935,754.4506030583535,68565.4408917304,1140.8575009162348,,,,,,,,,
31647,10441,1400,HPK,7.6,148.2,3.42,250,227,273,47592.588606300655,707.2714345440766,50091.32861631956,963.6512268977033,,,,,,,,,
31649,10441,1800,HPK,7.6,148.2,3.42,250,230,257,43251.00743407493,677.7856084755582,50825.60414464161,975.7928976420978,1.2292282055619526,0.009131531802274773,0.3386373559552074,0.005949997572951199,0.9981013869157925,0.0008425214273315995,1.3008502142360325,1.5062476164838272,1.107288885149056
31651,10441,2200,HPK,7.6,148.2,3.42,250,234,254,40110.12912501344,648.8817224839095,51323.29677751907,974.805414429192,,,,,,,1.4552194133628016,,
31654,10441,2800,HPK,7.6,148.2,3.42,250,236,252,39375.828832359766,642.5763507221551,51454.242640896584,975.5344874551222,,,,,,,,,
31656,10441,3400,HPK,7.6,148.2,3.42,250,236,250,39413.49745307337,656.0720460768833,54087.821980489556,1020.7066442568264,,,,,,,,,
31658,10441,4000,HPK,7.6,148.2,3.42,250,237,250,40567.65209181566,651.9468611577156,55900.30800053339,1016.3692363733344,,,,,,,,,
31675,10441,1400,HPK,7.6,148.2,3.42,300,227,263,38369.59769646592,638.0769182410471,38423.07076133452,848.0034046777845,,,,,,,,,
31677,10441,1800,HPK,7.6,148.2,3.42,300,226,257,31369.30621379673,573.7754418963057,38909.53204309177,848.6715661096014,1.467050424308148,0.009671316793255835,0.36951238311459444,0.006286168992704816,0.998571426278617,0.0010883686088558608,,1.6925414687536722,1.2684852253781937
31679,10441,2200,HPK,7.6,148.2,3.42,300,232,255,27929.095096478588,541.6237454638587,39312.27746509099,853.4056515923673,,,,,,,1.4575908274623428,,
31682,10441,2800,HPK,7.6,148.2,3.42,300,234,251,28356.922713458836,545.3254367972853,42635.13469521113,888.0392768665201,,,,,,,,,
31684,10441,3400,HPK,7.6,148.2,3.42,300,236,250,27446.276412386014,537.3365632255383,42323.24284880067,886.168470053146,,,,,,,,,
31686,10441,4000,HPK,7.6,148.2,3.42,300,236,250,26254.134415732657,527.94131062492,40277.109509397465,868.4365444947823,,,,,,,,,
