run,batch,acquired_apas,aimed_channels,pde
30049,2527,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
30223,2527,"[3,4]","[11136]",0.4
30051,2527,"[3,4]","[11101,11103,11104,11106,11127]",0.4
30052,2527,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30053,2527,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30054,2527,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30055,2527,"[1]",b,"[10402,10423,10424,10427,10436]",
30056,2527,"[2]",b,"[10914,10916,10941]",
30057,2527,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30058,2527,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30059,2527,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30060,2527,"[2]",b,"[10923]",
30061,2527,"[2]",b,"[10921]",
30062,2527,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
30063,2527,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
30064,2527,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
30065,2527,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
30225,2527,"[3,4]","[11136]",0.45
30067,2527,"[3,4]","[11101,11103,11104,11106,11127]",0.45
30068,2527,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30069,2527,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30070,2527,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30071,2527,"[1]",b,"[10402,10423,10424,10427,10436]",
30072,2527,"[2]",b,"[10914,10916,10941]",
30073,2527,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30074,2527,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30075,2527,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30076,2527,"[2]",b,"[10923]",
30077,2527,"[2]",b,"[10921]",
30078,2527,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.5
30079,2527,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.5
30080,2527,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.5
30081,2527,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.5
30226,2527,"[3,4]","[11136]",0.5
30083,2527,"[3,4]","[11101,11103,11104,11106,11127]",0.5
30084,2394,"[1]",b,"[10401,10403,10411,10413,10415,10445,10447]",
30085,2394,"[1]",b,"[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446]",
30086,2394,"[1]",b,"[10404,10412,10416,10421,10433,10434,10435,10437]",
30087,2394,"[1]",b,"[10402,10423,10424,10427,10436]",
30088,2394,"[2]",b,"[10914,10916,10941]",
30089,2394,"[2]",b,"[10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",
30090,2394,"[2]",b,"[10903,10904,10906,10911,10917,10922,10947]",
30091,2394,"[2]",b,"[10900,10901,10902,10905,10907,10920,10924,10946]",
30092,2394,"[2]",b,"[10923]",
30093,2394,"[2]",b,"[10921]",
30094,2394,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
30095,2394,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
30096,2394,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
30097,2394,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
