batch,APA,endpoint,channel,channel_iterator,PDE,gain,snr,OV#,HPK_OV_V,FBK_OV_V
1,1,107,5,38,0.5,5203.566446630058,4.678689722398463,3,4.0,7.0
1,1,107,7,39,0.5,5721.472426468996,5.412500721801518,3,4.0,7.0
1,2,109,27,0,0.4,2743.6159988274753,4.149875053248368,1,2.0,3.5
1,2,109,25,1,0.4,2794.238794802348,4.3821540439849365,1,2.0,3.5
1,2,109,22,2,0.4,2720.743272197087,4.280137508229298,1,2.0,3.5
1,2,109,20,3,0.4,2771.448945986606,4.201655017179654,1,2.0,3.5
1,2,109,21,4,0.4,2745.1304101495066,4.535244362392868,1,2.0,3.5
1,2,109,23,5,0.4,2735.774459926636,4.712367321493491,1,2.0,3.5
1,2,109,24,6,0.4,2618.338460572154,4.8796781823604665,1,2.0,3.5
1,2,109,26,7,0.4,2731.042637414684,4.491905409596578,1,2.0,3.5
1,2,109,37,8,0.4,2852.0957230175836,4.513627505945498,1,2.0,3.5
1,2,109,35,9,0.4,2799.838959907545,4.244948187323341,1,2.0,3.5
1,2,109,32,10,0.4,2822.2404313839556,4.106730293537893,1,2.0,3.5
1,2,109,30,11,0.4,2790.3623628359446,4.285638875800586,1,2.0,3.5
1,2,109,31,12,0.4,2937.4654585047865,4.309244459308576,1,2.0,3.5
1,2,109,34,14,0.4,2778.122477707822,4.453422965075988,1,2.0,3.5
1,2,109,36,15,0.4,2401.953725319422,3.567275015694794,1,2.0,3.5
1,2,109,7,16,0.4,2817.4036531605434,3.490548222154701,1,2.0,3.5
1,2,109,5,17,0.4,2714.4739714135053,3.694992500029801,1,2.0,3.5
1,2,109,2,18,0.4,3058.1429190292997,3.839608617327676,1,2.0,3.5
1,2,109,0,19,0.4,2779.2172166028604,3.633439825740796,1,2.0,3.5
1,2,109,1,20,0.4,3062.6092263568953,3.599089565647707,1,2.0,3.5
1,2,109,3,21,0.4,2679.9189683779728,3.035595630327352,1,2.0,3.5
1,2,109,4,22,0.4,3168.2553646034535,3.781422745890465,1,2.0,3.5
1,2,109,6,23,0.4,3189.2160077429053,4.154939319735512,1,2.0,3.5
1,2,109,15,25,0.4,2795.6322829263704,3.3043268407422257,1,2.0,3.5
1,2,109,12,26,0.4,2775.8365573453448,3.3738100710702295,1,2.0,3.5
1,2,109,47,32,0.4,3066.5853428575256,4.717157122302785,1,2.0,3.5
1,2,109,45,33,0.4,2938.9767372527435,4.35822002540531,1,2.0,3.5
1,2,109,42,34,0.4,2847.114033016258,5.108351261400866,1,2.0,3.5
1,2,109,40,35,0.4,2812.532644790357,4.251364688815471,1,2.0,3.5
1,2,109,41,36,0.4,2899.5074364530046,4.314883223105392,1,2.0,3.5
1,2,109,43,37,0.4,2889.029117343929,4.811773714838561,1,2.0,3.5
1,2,109,44,38,0.4,2675.1858403821325,4.535557350946446,1,2.0,3.5
1,2,109,46,39,0.4,2804.2235087137815,3.4983181144655195,1,2.0,3.5
1,2,109,27,0,0.45,3360.512571715044,4.858496485336454,2,3.5,4.5
1,2,109,25,1,0.45,3519.118312761157,5.12582689890219,2,3.5,4.5
1,2,109,22,2,0.45,3284.136619003594,4.8033601535539665,2,3.5,4.5
1,2,109,20,3,0.45,3224.198479645883,5.245152528173105,2,3.5,4.5
1,2,109,21,4,0.45,3515.778286245451,5.78990931253973,2,3.5,4.5
1,2,109,23,5,0.45,3399.6386314341607,5.123370048945971,2,3.5,4.5
1,2,109,24,6,0.45,3336.1047892584374,5.310635908027618,2,3.5,4.5
1,2,109,26,7,0.45,3238.872511052776,4.9848093313874235,2,3.5,4.5
