Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated
32235,10945,3400,HPK,7.35,128.9,3.46,200,231,253,39938.30663950326,650.1127734771915,53260.48217461401,1001.0024931717487,,,,,,,,,,0.9185398657610455
32236,10945,4000,HPK,7.35,128.9,3.46,200,232,251,40308.27804543432,649.5423711114895,53944.40603766485,1001.8952276429227,,,,,,,,,,0.9185398657610455
32243,10945,1400,HPK,7.35,128.9,3.46,250,226,279,39463.31070141956,642.8067788427413,42794.09276970069,892.5125634623441,,,,,,,,,,1.0842982541636064
32244,10945,1800,HPK,7.35,128.9,3.46,250,224,263,35910.116261864576,619.9698204136512,41424.77793122262,887.8323684643008,1.1475040278401727,0.009471494900625377,0.3615294256651294,0.006446957546471649,0.9931370665728523,0.002537684391447359,,1.6896502588622404,1.0657580412293912,1.0842982541636064
32245,10945,2200,HPK,7.35,128.9,3.46,250,227,256,33412.24189383224,591.2976563247843,45056.58899223256,915.5271776704666,,,,,,,1.5480438878422047,1.5480438878422047,1.089192282225937,1.0842982541636064
32246,10945,2800,HPK,7.35,128.9,3.46,250,229,255,32215.738305466843,581.1480817550187,42194.847755621755,886.7908696142166,,,,,,,,1.5699957252101888,1.044932348960179,1.0842982541636064
32247,10945,3400,HPK,7.35,128.9,3.46,250,231,253,30857.596187931176,573.3077911882502,41470.10970832311,886.1620081378057,,,,,,,,,,1.0842982541636064
32248,10945,4000,HPK,7.35,128.9,3.46,250,231,252,31953.56472795497,578.398356545377,43554.00696864111,900.3682824419892,,,,,,,1.4682478111492765,,,1.0842982541636064
32255,10945,1400,HPK,7.35,128.9,3.46,300,226,273,29106.748160782427,553.9371407006354,30323.775459227156,753.8657514028688,,,,,,,,,,1.2500566425661672
32256,10945,1800,HPK,7.35,128.9,3.46,300,226,258,26439.573316338054,527.0026929335028,31279.767133618498,764.286354061758,1.4159665192919129,0.013386612556074873,0.35812289621153653,0.008180000538019927,0.9913430242058874,0.005482606025503711,,1.8523139278985195,1.281243903115019,1.2500566425661672
32257,10945,2200,HPK,7.35,128.9,3.46,300,227,256,23002.072237641587,490.62889171332,31367.09638472447,763.9158715739469,1.4351398335475707,0.009812750858520958,0.38544820699718446,0.006414300133068179,0.9982981784412666,0.000799743532530095,1.704532860467675,1.8506356770791896,1.2833425376707608,1.2500566425661672
32258,10945,2800,HPK,7.35,128.9,3.46,300,229,253,20091.853363277827,463.63072157827503,31135.121482130686,769.5311862517008,1.4470628717484215,0.013450181870312217,0.3741173503199959,0.007861960720617567,0.9995509306841938,0.0002427543558753964,,1.6377353113471877,1.2755107298430464,1.2500566425661672
32259,10945,3400,HPK,7.35,128.9,3.46,300,227,252,19877.537629224917,456.02198827483414,30055.766838668977,747.6651446188936,,,,,,,,,,1.2500566425661672
32260,10945,4000,HPK,7.35,128.9,3.46,300,231,251,19882.731461378877,456.2612275031118,32201.39294663667,774.1972190164311,,,,,,,,,,1.2500566425661672
32267,10945,1400,HPK,7.35,128.9,3.46,350,226,268,20874.754656170062,467.5927087456553,21953.580411105093,639.3644087805607,,,,,,,,,,1.415815030968728
32268,10945,1800,HPK,7.35,128.9,3.46,350,219,262,17606.211608202648,433.6978943779529,22145.461418731702,648.5380454835062,1.5057523059394653,0.012223152940423754,0.27331594895318934,0.007211266750106277,0.9626242659198085,0.005674472548206189,1.5191178100409921,1.6999651683792059,1.4642484011074428,1.415815030968728
32269,10945,2200,HPK,7.35,128.9,3.46,350,223,258,15296.570540424158,401.01680925440735,21867.262353321134,639.2952602423667,1.5447603593008794,0.009326411561435988,0.3166084717912059,0.006195181445410786,0.9959095756351786,0.0014793114858637768,,1.6866618641250062,1.4112549065771092,1.415815030968728
32270,10945,2800,HPK,7.35,128.9,3.46,350,227,254,13666.44020633655,380.50515985599026,22205.316800373184,646.6958455976518,1.5298317768195193,0.012737431622169226,0.3507495087512385,0.00768949963057447,0.9991054912232431,0.0004070972484025992,1.6559506657589156,1.592260255537419,1.3714651047316762,1.415815030968728
32271,10945,3400,HPK,7.35,128.9,3.46,350,226,252,12864.3681141163,369.366971430964,20739.477769391488,625.3187828089866,,,,,,,,1.5069425753233798,1.3602415082023247,1.415815030968728
32272,10945,4000,HPK,7.35,128.9,3.46,350,229,252,12802.381674675104,368.04259606158297,21179.7711892513,631.1783136433886,,,,,,,1.3973100489226007,1.4795047576827536,1.4099961466180895,1.415815030968728
32279,10945,1400,HPK,7.35,128.9,3.46,400,222,262,16308.834699880405,414.244815621985,17227.74108512098,567.6733692678018,,,,,,,,,,1.581573419371289
32280,10945,1800,HPK,7.35,128.9,3.46,400,219,261,14729.222777991536,397.6516375085055,16279.918405736027,557.4137895875028,1.5349677508750044,0.009139662001567572,0.20668001949377066,0.005223581440094507,0.945416663025619,0.004242314123736102,,1.1870616361362225,1.5076242630691639,1.581573419371289
32281,10945,2200,HPK,7.35,128.9,3.46,400,219,256,12658.872508616814,363.7667118296487,17003.93554694469,562.1327693398924,1.5780325208458854,0.009807611853167919,0.23333244860203126,0.007070301476925375,0.9728136239347276,0.0028204785115688025,1.405669637909495,1.551083738382891,1.5165799438455079,1.581573419371289
32282,10945,2800,HPK,7.35,128.9,3.46,400,225,254,10946.02816275427,340.40528316747157,17013.04011885641,565.8452973537989,1.590003956050466,0.012188780661292697,0.3242824718197952,0.011180983133196376,0.9955334869311435,0.0013479781932090318,1.5118506673421823,1.196881778312561,1.4769768215917174,1.581573419371289
32283,10945,3400,HPK,7.35,128.9,3.46,400,228,253,10177.483598875353,326.27514477511676,17144.939825352198,564.6385225855379,,,,,,,1.5135130856066263,1.4378374313262952,1.4730598895780473,1.581573419371289
32284,10945,4000,HPK,7.35,128.9,3.46,400,227,253,10059.40780914547,324.32832475078646,16730.823798994545,557.6941266331514,,,,,,,,1.4893367742752635,1.4509921293814272,1.581573419371289
32291,10945,1400,HPK,7.35,128.9,3.46,450,224,263,15227.903141165005,399.0794989488336,14056.525976460005,511.2309071050875,,,,,,,,,,1.7473318077738498
32292,10945,1800,HPK,7.35,128.9,3.46,450,220,262,12881.933096157863,367.1571692289784,14120.245105130527,512.5324268528854,1.5877383309915016,0.008085232682135346,0.17993050508161923,0.004227284740762699,0.9217674340502754,0.004344416359360226,,1.4991767071452164,1.5902929439748847,1.7473318077738498
32293,10945,2200,HPK,7.35,128.9,3.46,450,218,255,10769.697850632057,335.73439192057566,14736.379566268159,523.6344466694252,1.595118077404856,0.008287348403250627,0.1717022573434791,0.004996794724013376,0.9405173134147087,0.002832746845206513,,1.8316841088646332,1.590252784585855,1.7473318077738498
32294,10945,2800,HPK,7.35,128.9,3.46,450,220,255,8999.900875510357,306.8940726446711,15106.8103584794,530.145113518936,1.6313654351264442,0.011651698358162044,0.2205015021407268,0.011865439468561723,0.9731270763195987,0.002058869421639631,1.5885000237488536,1.9062000284986238,1.572756439510393,1.7473318077738498
32295,10945,3400,HPK,7.35,128.9,3.46,450,226,254,8026.62801589708,291.34813920038266,14777.17375610038,527.0843323483459,,,,,,,,1.5878588052754106,1.556802193263427,1.7473318077738498
32296,10945,4000,HPK,7.35,128.9,3.46,450,228,252,8007.7811379328805,289.33289335345904,15109.547003514783,529.9149490246352,,,,,,,1.5405669637909467,1.9459793226833013,1.5213300481939074,1.7473318077738498
32303,10945,1400,HPK,7.35,128.9,3.46,500,225,278,12951.785044726552,368.10295655898443,12126.460382928324,474.9088408146788,,,,,,,,,,1.9130901961764106
32304,10945,1800,HPK,7.35,128.9,3.46,500,223,262,11889.816701976455,352.92077857920185,13148.053790066178,494.8335320658469,,,,,,,1.7101969569829523,1.455486771900385,1.746578658283614,1.9130901961764106
32305,10945,2200,HPK,7.35,128.9,3.46,500,220,254,9942.520314105857,322.4083110417903,13344.978778881656,498.03018474261745,1.7340804456606107,0.007364182824265764,0.1695979152890351,0.00451671580107138,0.9422232656991535,0.002749971095190873,1.5223674419340854,1.5714760690932494,1.7391041029160312,1.9130901961764106
32306,10945,2800,HPK,7.35,128.9,3.46,500,226,252,7848.274519626047,288.89897741887916,13385.313724529335,503.05089473071126,1.7762550667693755,0.01012901389548837,0.2106624025752239,0.009834577706925585,0.9685840071276683,0.0019545737804904095,1.2720666233910052,1.9080999350865073,1.7479442493411603,1.9130901961764106
32307,10945,3400,HPK,7.35,128.9,3.46,500,227,250,6946.372246093436,269.7747437026208,13634.307314604712,503.9384990843662,,,,,,,2.2057282183626077,1.901489843416041,1.7413564311675218,1.9130901961764106
32308,10945,4000,HPK,7.35,128.9,3.46,500,223,252,6857.793404172185,269.60767871848225,12681.559226537194,488.8381841738078,,,,,,,,1.9775177720428918,1.7491031723730102,1.9130901961764106
32315,10945,1400,HPK,7.35,128.9,3.46,550,227,256,10843.367844549479,336.8870470116323,10810.80517834963,448.5077737018233,,,,,,,,,,2.0788485845789717
32316,10945,1800,HPK,7.35,128.9,3.46,550,223,257,9852.873824118793,321.53638528939206,11155.164684554327,456.16860686832376,1.9784490639067414,0.008776668564560164,0.20999111428284284,0.005002436969834004,0.9385421631076846,0.004884462127686062,,1.1402724782697857,2.0038307589919104,2.0788485845789717
32317,10945,2200,HPK,7.35,128.9,3.46,550,223,255,8402.1352765962,296.5049150357823,10714.553578125167,446.43973242188196,1.9855811006297701,0.007345697760799741,0.19308385973820794,0.005274300847956076,0.9531187092792189,0.0027104426883818866,1.1312281312835462,1.08204429948861,1.9934219377169886,2.0788485845789717
32318,10945,2800,HPK,7.35,128.9,3.46,550,218,255,6940.0058499171255,270.96170527762257,10833.17986328527,451.3824943035529,2.024669930699315,0.010075219126055579,0.23231680255326403,0.010620400941219119,0.9755468509135605,0.0019678863756850684,,1.0814584949573236,2.0049531624453456,2.0788485845789717
32319,10945,3400,HPK,7.35,128.9,3.46,550,222,253,6047.378242484733,251.75565031523323,11533.455442628308,463.56871363047725,2.0520316577962414,0.015756680786362276,0.36925196211536615,0.015204149322329968,0.9961580971994026,0.0010637999270131648,1.2261363816279074,0.9962358100726747,1.994041400571434,2.0788485845789717
32320,10945,4000,HPK,7.35,128.9,3.46,550,222,254,5828.3497629316125,246.95510519922172,11496.2542301751,462.44716539783934,,,,,,,,2.3069932394990635,2.0640338604545136,2.0788485845789717
32327,10945,1400,HPK,7.35,128.9,3.46,600,226,254,8295.01239837616,294.5645271279902,9149.269665127804,412.4809318214804,,,,,,,,,,2.2446069729815323
32328,10945,1800,HPK,7.35,128.9,3.46,600,223,256,7870.861601449043,287.0207901441173,8670.972828073885,401.6750597389632,2.2480580230956497,0.008911594044511917,0.2022866385223437,0.005265852827182685,0.9513764435625944,0.004755048767234371,,1.027374487421063,2.2680142875597054,2.2446069729815323
32329,10945,2200,HPK,7.35,128.9,3.46,600,217,254,7085.868755559843,272.33205907554066,8577.936638931462,399.51433906465826,2.2712243505302143,0.007720526907893266,0.18956568152443243,0.0050883409041041355,0.9601174580349152,0.0026713986259155886,1.698575861686801,0.9706147781067433,2.27984109566182,2.2446069729815323
32330,10945,2800,HPK,7.35,128.9,3.46,600,223,253,6151.374378244532,255.42191850065925,8673.20218848271,404.39013718002695,2.277029912855855,0.009044709379946614,0.19795247410299502,0.006932359987551359,0.9761422717505629,0.0016539730485531923,0.8832428238944934,1.1986866895710986,2.3176464779484607,2.2446069729815323
32331,10945,3400,HPK,7.35,128.9,3.46,600,225,253,5689.145769985492,248.53148690861542,8241.78199757016,398.8477857472495,2.2832644460155334,0.014313389340165461,0.2922188541454628,0.01697887053614655,0.9905492124201155,0.0015330186808298896,,0.9170849099919325,2.2285324668074176,2.2446069729815323
