Run,SiPM,Integrators,VGain,DaphneCh,OfflineCh,RMS
26363,HPK,ON,2700,11134,61,2.7124429864351156
26363,HPK,ON,2700,11135,63,2.808734189550888
26363,HPK,ON,2700,11136,71,2.749843378256461
26363,HPK,ON,2700,11137,73,2.697722634196575
26363,HPK,ON,2700,11140,78,2.817941895559719
26363,HPK,ON,2700,11141,74,2.733107608824184
26363,HPK,ON,2700,11142,68,2.8561357110141423
26363,HPK,ON,2700,11143,64,2.942222463761302
26363,HPK,ON,2700,11144,54,2.71887930175996
26363,HPK,ON,2700,11145,58,2.8648441892734575
26363,HPK,ON,2700,11146,44,2.7757671770853225
26363,HPK,ON,2700,11147,48,2.7886676308019283
26378,HPK,ON,2700,11200,30,2.7932874702651733
26378,HPK,ON,2700,11201,1,2.755216800820164
26378,HPK,ON,2700,11202,20,2.84368173522529
26378,HPK,ON,2700,11203,11,2.7947630734407354
26378,HPK,ON,2700,11204,21,2.7264477705654278
26378,HPK,ON,2700,11205,10,2.8553268698103236
26378,HPK,ON,2700,11206,31,2.8364635234726507
26378,HPK,ON,2700,11207,0,2.949419094956576
26378,HPK,ON,2700,11210,32,2.7526016620171765
26378,HPK,ON,2700,11211,3,2.7306245352370695
26378,HPK,ON,2700,11212,22,2.773333358245281
26378,HPK,ON,2700,11213,13,2.803814660870461
26378,HPK,ON,2700,11214,23,2.80351918607279
26378,HPK,ON,2700,11215,12,2.8330857089149846
26378,HPK,ON,2700,11216,33,2.6751430176044573
26378,HPK,ON,2700,11217,2,2.756414212114779
26378,HPK,ON,2700,11220,5,2.87896898323842
26378,HPK,ON,2700,11221,36,2.9107989396548466
26378,HPK,ON,2700,11222,15,3.1046933586873875
26378,HPK,ON,2700,11223,26,2.9470427141064968
26378,HPK,ON,2700,11224,16,2.8200846154566857
26378,HPK,ON,2700,11225,25,2.88746604078707
26378,HPK,ON,2700,11226,6,2.7914654079502257
26378,HPK,ON,2700,11227,35,2.956412753989863
26378,HPK,ON,2700,11230,7,2.874348503332414
26378,HPK,ON,2700,11231,38,2.8053404507392177
26378,HPK,ON,2700,11232,17,2.8009816842437565
26378,HPK,ON,2700,11233,28,2.957297063180846
26378,HPK,ON,2700,11234,18,2.8746855298476457
26378,HPK,ON,2700,11235,27,2.783266640373722
26378,HPK,ON,2700,11236,8,2.7453781019725283
26378,HPK,ON,2700,11237,37,2.7053287404453985
26378,HPK,ON,2700,11240,9,2.921451020914066
26378,HPK,ON,2700,11242,19,3.035314856657594
26378,HPK,ON,2700,11245,29,2.7881457376304444
26378,HPK,ON,2700,11247,39,2.8018886417445463
26378,FBK,ON,2700,11300,34,2.8726767918305556
26378,FBK,ON,2700,11302,24,2.8628314243418105
26378,FBK,ON,2700,11305,14,3.131627316832004
26378,FBK,ON,2700,11307,4,3.3410543319591812
26378,FBK,ON,2700,11100,72,2.6800130451368003
26378,FBK,ON,2700,11101,70,2.739309285329455
26378,FBK,ON,2700,11102,62,2.6060187823933574
26378,FBK,ON,2700,11103,60,2.8326039604727344
26378,FBK,ON,2700,11104,50,2.810135194516351
26378,FBK,ON,2700,11105,52,2.8909199242757033
26378,FBK,ON,2700,11106,40,2.850811050454864
26378,FBK,ON,2700,11107,42,2.6696341846675953
26378,FBK,ON,2700,11110,76,2.843408204801767
26378,FBK,ON,2700,11111,45,2.644692000818648
26378,FBK,ON,2700,11112,66,2.8588261373748134
