ConfigNumber,OfflineCh,Integrators,VGain,RMS
1,11,ON,2318,4.703663213513347
1,12,ON,2318,4.764442128096478
1,13,ON,2318,4.739958631587341
1,14,ON,2318,4.849435367581541
1,15,ON,2318,5.405710062914713
1,16,ON,2318,4.6898267382307965
1,17,ON,2318,4.765411422658159
1,18,ON,2318,4.85911515228752
1,19,ON,2318,5.253791759080309
1,20,ON,2318,4.858162753257625
1,21,ON,2318,4.595010358816768
1,22,ON,2318,4.605528245198137
1,23,ON,2318,4.592980659476525
1,24,ON,2318,4.6031044884255286
1,25,ON,2318,4.907761499921966
1,26,ON,2318,4.8797750086357965
1,27,ON,2318,4.674959867105981
1,28,ON,2318,5.040318452751717
1,29,ON,2318,4.758391545247814
1,30,ON,2318,4.663059781195369
1,31,ON,2318,4.725091956219818
1,32,ON,2318,4.584827361553678
1,33,ON,2318,4.439159115394623
1,34,ON,2318,4.575813199200852
1,35,ON,2318,4.953014973535256
1,36,ON,2318,4.8521826075209145
1,37,ON,2318,4.482713401001943
1,38,ON,2318,4.778670904620707
1,39,ON,2318,4.803932272791033
1,40,ON,2318,4.707800457647845
1,41,ON,2318,4.766069040350575
1,42,ON,2318,4.494751502307618
1,43,ON,2318,4.637673539645701
1,44,ON,2318,4.661501428039617
1,45,ON,2318,4.345792126027983
1,46,ON,2318,4.844003852927929
1,47,ON,2318,4.770563249416337
1,48,ON,2318,4.791904489863105
1,49,ON,2318,4.638218919862659
1,50,ON,2318,4.863085644758382
1,51,ON,2318,4.8773516844934885
1,52,ON,2318,4.930095244013022
1,53,ON,2318,4.940797874603595
1,54,ON,2318,4.609126175137941
1,55,ON,2318,4.368049556705308
1,56,ON,2318,4.815593235459478
1,57,ON,2318,4.6314114552585055
1,58,ON,2318,4.831347426537596
1,59,ON,2318,4.519444219089961
1,60,ON,2318,4.782255631727317
1,61,ON,2318,4.537002568714892
1,62,ON,2318,4.406872726039008
1,63,ON,2318,4.735187687828985
1,64,ON,2318,5.071625819613183
1,65,ON,2318,4.4788423937001065
1,66,ON,2318,4.804654511519364
1,67,ON,2318,4.653821420512051
1,68,ON,2318,4.815780002169739
1,69,ON,2318,4.4589015273549615
1,70,ON,2318,4.673342177790116
1,71,ON,2318,4.648537057925792
1,72,ON,2318,4.389950185814556
1,73,ON,2318,4.57562954708026
1,74,ON,2318,4.557442783587812
1,75,ON,2318,4.6710959423298695
1,76,ON,2318,4.723389088973127
1,77,ON,2318,4.608655085704518
1,78,ON,2318,4.723579347160457
1,79,ON,2318,4.3888141403142535
1,80,ON,2318,4.578586467756635
1,81,ON,2318,4.496449477898072
1,82,ON,2318,4.586756403957169
1,83,ON,2318,4.709444432044171
1,84,ON,2318,4.779726460285867
1,85,ON,2318,4.399146129480596
1,86,ON,2318,4.389950185814556
1,87,ON,2318,4.389950185814556
1,88,ON,2318,4.803699789656487
1,89,ON,2318,4.774141450509988
1,90,ON,2318,4.853171703293321
1,91,ON,2318,4.925412485527596
1,92,ON,2318,4.665169307903403
1,93,ON,2318,4.83579364483375
1,94,ON,2318,4.153494849537038
1,95,ON,2318,4.31735748714625
1,96,ON,2318,4.388546633786571
1,97,ON,2318,4.389950185814556
1,98,ON,2318,4.884283897393532
1,99,ON,2318,4.370197795443286
1,100,ON,2318,4.660162716069716
1,101,ON,2318,4.77634360586753
1,102,ON,2318,4.478674758085063
