run,channels
30048,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30049,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30223,[11136]
30051,"[11101, 11103, 11104, 11106, 11127]"
30052,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30053,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30054,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30055,"[10402, 10423, 10424, 10427, 10436]"
30056,"[10914, 10916, 10941]"
30057,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30058,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30059,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30060,[10923]
30061,[10921]
30062,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30063,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30064,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30065,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30225,[11136]
30067,"[11101, 11103, 11104, 11106, 11127]"
30068,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30069,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30070,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30071,"[10402, 10423, 10424, 10427, 10436]"
30072,"[10914, 10916, 10941]"
30073,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30074,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30075,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30076,[10923]
30077,[10921]
30078,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30079,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30080,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30081,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30226,[11136]
30083,"[11101, 11103, 11104, 11106, 11127]"
30084,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30085,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30086,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30087,"[10402, 10423, 10424, 10427, 10436]"
30088,"[10914, 10916, 10941]"
30089,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30090,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30091,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30092,[10923]
30093,[10921]
30094,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30095,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30096,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
30097,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
30227,[11136]
30099,"[11101, 11103, 11104, 11106, 11127]"
30100,"[10401, 10403, 10411, 10413, 10415, 10445, 10447]"
30101,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446]"
30102,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437]"
30103,"[10402, 10423, 10424, 10427, 10436]"
30104,"[10914, 10916, 10941]"
30105,"[10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
30106,"[10903, 10904, 10906, 10911, 10917, 10922, 10947]"
30107,"[10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
30108,[10923]
30109,[10921]
30110,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
30111,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
30112,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
