Run,Threshold,PE,MeanTrgPos,ErrMeanTrgPos,SigmaTrg,ErrSigmaTrg,MeanTrgPos2,ErrMeanTrgPos2,SigmaTrg2,ErrSigmaTrg2,FitOK,IntegralTrg
32056,800,21,237.06644003422707,0.05896509412052353,0.5988528787682923,0.036063154545780796,237.27553429820588,0.01010400123472266,0.4320501505148742,0.007904746835810661,True,2758.6128252644025
32056,800,22,237.25897776743815,0.010972232299764073,0.43875311435878395,0.008134332633825236,237.2589828000271,0.010993727292415656,0.43872949635615754,0.008045438456005416,True,2063.968574527319
32056,800,23,237.21665664424089,0.012177793871188669,0.44145688596068905,0.00795116226995457,237.21666416352897,0.012176831256041964,0.4414474489045739,0.00795001382812166,True,1743.6292195544418
32056,800,24,237.00000013430324,0.24493635408244074,0.5433600348916579,0.011670214391067746,237.18821207481892,0.013902914731417582,0.4291101346878867,0.008242551459481606,True,1607.6014821427868
32056,800,25,237.00000002746478,0.2455328674052879,0.5149459719318001,0.011882345445845655,237.17828488181766,0.015721103898840738,0.4129897076201988,0.008833699356886077,True,1309.9732022956389
32056,800,26,237.00000035233666,0.552321172340541,0.4744558264623208,0.011522085974663365,237.15259250850158,0.01790852874937343,0.3959496999127348,0.009110118232826842,True,1067.5858870706147
32056,800,27,237.12943152363815,0.02031221882008083,0.39743640262345625,0.009800653531834402,237.12949685114705,0.020313303829027518,0.39740601033468725,0.00980430692641654,True,733.3427760931927
32056,800,28,237.19178079618055,0.25278543659644015,0.3649926551371731,0.15424249339555857,237.14796053531813,0.02344544214317068,0.39137179631478136,0.011653010113518547,True,574.1263775752797
32056,800,29,237.17938264002225,0.2976655231335741,0.36778830104025434,0.17889215266519093,237.11555269554185,0.025377207023510095,0.40452774102637895,0.012042050319599706,True,445.4205923624491
32056,800,30,237.08294805171332,0.029095315629945162,0.42540476430903135,0.01388783525496562,237.08298845626356,0.029093380486230558,0.42535613696808877,0.0138853362693874,True,326.21525648801554
32056,800,31,237.03334940485067,0.03224890530292157,0.4323360717782876,0.015016950080989522,237.03340223299884,0.032245040791735846,0.43230049365960727,0.015016702103772872,True,263.37799342727317
32068,850,0,371.0,0.0,0.05451803920107879,4.292242774627493,369.99914185945835,0.233539469678675,0.4541321499451111,0.11586834939647886,True,0.5996832631501071
32068,850,1,996.303478658843,0.7965219393707912,0.19603087958842863,3.039898380624603,995.3229301870879,0.11147143968372575,0.3537237134182363,0.07176128744134239,True,2.79850855165914
32068,850,2,600.0,0.0,0.09764640283975025,0.6159055796328443,599.2269930307692,0.5099270129879301,0.25875778698852253,0.24756815217385586,True,1.2318134914759438
32068,850,3,238.15284712773553,0.024393118685665627,1.6011751481556653,0.01978130420008617,238.1525787812774,0.024356352240303636,1.6067159686130976,0.01982354849112089,True,4358.614072606243
32068,850,4,237.91912613096045,0.012686174600801792,1.2951973419789806,0.010335499267107084,237.91982901576614,0.01268153026862251,1.2951130871933647,0.01030564182820537,True,10443.14721893139
32068,850,5,237.93313754512775,0.011176911188016447,1.0846404929656994,0.008869427195244528,237.93325847634162,0.011172624728686742,1.085791488653677,0.00887488642757639,True,9635.221100230596
32068,850,6,237.89399400077176,0.010270640946473009,0.9214788554194965,0.007849615038803326,237.89403541315903,0.010264169156670278,0.92303967421542,0.007859210544411854,True,8458.213286579674
32068,850,7,237.86026190247998,0.009667055903975097,0.8335633466600447,0.007593310514546481,237.86050652589506,0.009684301301717824,0.8322460506798571,0.007777303802229019,True,7723.7137576502855
32068,850,8,237.84817197526027,0.009190528701381595,0.7444038948554615,0.007281951185602764,237.84846218227722,0.009193365472853543,0.7441265525587842,0.00729521798597399,True,6789.815613821713
32068,850,9,237.80318520130595,0.010550544460457445,0.7275397507273398,0.010900050929867067,237.8264594598389,0.009171222618476804,0.6909677896416354,0.006510972522445424,True,6170.787284444571
32068,850,10,237.77777379929745,0.010074875709918274,0.6780629991974652,0.009588256390867411,237.79507426728077,0.009086843242656073,0.6497732638645639,0.006179000350094166,True,5523.898494036646
32068,850,11,237.73048685535187,0.010421822662138425,0.650082594488722,0.009535156750687168,237.7448842216252,0.009432893953686516,0.6294296477668312,0.006479162961256002,True,4711.134168440757
32068,850,12,237.71172646957586,0.010266100894881447,0.6283603491149645,0.00909219516665799,237.72834044537404,0.009498706435906001,0.603894211395294,0.006242631509492003,True,4419.218813241745
32068,850,13,237.66646772961556,0.0102742900528483,0.6077574203113782,0.009230726547896473,237.6796707243113,0.009511881992196436,0.5871628009137462,0.006536881062498612,True,4096.500419349808
32068,850,14,237.5499107286164,0.01258889570641486,0.6343356526406065,0.011799879337314967,237.58411188794935,0.010024368016459562,0.5750189499592037,0.007283730223960283,True,3888.049246045211
32068,850,15,237.4704296066952,0.012691855480468917,0.6000867243452096,0.012496766978127904,237.50472104929256,0.008846151430859095,0.5162495829727533,0.005608434402130713,True,3785.897408505105
32068,850,16,237.42138742403236,0.01468193376376803,0.6050589743534912,0.014133421822413117,237.46395325014686,0.008077904726576435,0.49016269240906185,0.005559892962409302,True,3583.7414312414935
32068,850,17,237.38026804276242,0.016887722593295962,0.6074936877329802,0.015770687471915068,237.4404845665967,0.007719906556502565,0.46446335751534107,0.005291913165951817,True,3375.280456764396
32068,850,18,237.30075731333812,0.02082580458973382,0.579980855857712,0.018884434167297626,237.3788718174052,0.007738068960080113,0.45997904013749696,0.008667833205323633,True,3299.018576748973
32068,850,19,237.21908243665965,0.029768855455600374,0.6131033285663031,0.022879671131716295,237.34559238375104,0.008403311553976778,0.4599032261332146,0.00842370534220327,True,3145.416677561113
32068,850,20,237.12434688091312,0.04511989677251904,0.5950381595713805,0.030328732992949747,237.31529036734827,0.008021430457418433,0.418318427536367,0.006719106177479034,True,3007.776383889582
32068,850,21,237.01247870130095,0.08029683756537054,0.6650387561312855,0.036154351303865295,237.30195482105225,0.010025551432846669,0.42511719372933826,0.008692309193296582,True,2917.3250215132116
32068,850,22,237.00000000047956,0.10601278483677845,0.6465568082032003,0.01201735323163039,237.29109125570793,0.011133376858168731,0.41706761577666934,0.009224321317747586,True,2504.482837781706
32068,850,23,237.2839322582768,0.011816634992428021,0.41621149727277307,0.009506964667554019,237.28398429401474,0.011817947842828858,0.41616899239173344,0.009509239349019205,True,1860.5125187800888
32068,850,24,237.0000000134548,0.2515761951346889,0.5983181421652927,0.012600048255896723,237.25595500362283,0.0003019941993329667,0.41794655267152897,0.00017807577344833292,True,1831.3367236786407
32068,850,25,237.2249004158374,0.01561340824254387,0.41120236617547756,0.010127739476538195,237.222199552945,0.015125982836295293,0.41381352600469895,0.009696229360650094,True,1224.6736470018961
32068,850,26,237.1959341199102,0.01716982208043305,0.4128226014672382,0.010138127024556326,237.1959845626215,0.01716792907961917,0.4127786192247752,0.01013717475732498,True,964.2154154387683
32068,850,27,237.16255275895256,0.019898122781711436,0.4051091683393317,0.010554378161105021,237.1627148339687,0.01995748017587573,0.40482139966989183,0.010543710396020589,True,746.378815338073
32068,850,28,237.23205712692442,0.027213882828078795,0.36067854597157906,0.016934012060456027,237.2321962412073,0.027192329764076817,0.3605691769550972,0.016922939957661337,True,617.6913679195031
32068,850,29,237.1125332680108,0.026229300449415405,0.3905660389670087,0.012011943925552188,237.11260896470543,0.026237741522223246,0.390494417315269,0.012015618833555897,True,451.88778851694275
32068,850,30,237.17797817853673,0.029019297079216244,0.4303055815857114,0.016800955319990624,237.17801539463375,0.029018591926075032,0.4302355135054865,0.016796977153641618,True,320.92508064209153
32068,850,31,239.98784430550444,0.105749013213142,1.4015874542124098,0.0658886338589253,237.13066674082563,0.03638664311536388,0.4135017338604347,0.018137867062699486,True,348.6254798674832
