LED int,mask,module,value
4000,8,M2(2),2.431026966235996
4000,8,M3(1),
4000,8,M3(2),0.2105469611258007
4000,8,M4(1),1000.0
4000,8,M4(2),
4000,8,M5(1),8.170245568138052
4000,8,M5(2),6.294835231655986
4000,8,M6(1),20.8660187945876
4000,8,M6(2),17.316056057551418
4000,8,M7(1),3.411235308553856
4000,8,M7(2),3.3857091199472418
4000,8,M8(1),2.1994643187281824
4000,8,M8(2),2.203280364863345
4000,16,C1(1),12.763601908383157
4000,16,C1(2),14.157057499073332
4000,16,C2(1),10.705490340414933
4000,16,C2(2),7.59317941011292
4000,16,C3(1),1025.8268148280758
4000,16,C3(2),
4000,16,C4(1),207.59194792207663
4000,16,C4(2),199.4776847150257
4000,16,C5(1),204.8904811784588
4000,16,C5(2),243.0171702198012
4000,16,C6(1),5.991886883829949
4000,16,C6(2),8.571431625116382
4000,16,C7(1),10.2669574368053
4000,16,C7(2),13.597918656182964
4000,16,C8(1),21.22878455988701
4000,16,C8(2),26.362476147244784
4000,16,M1(1),5.141481410469667
4000,16,M1(2),5.384194551774735
4000,16,M2(1),
4000,16,M2(2),4.32834785199182
4000,16,M3(1),0.1765246568877931
4000,16,M3(2),0.2484249489233882
4000,16,M4(1),16.099179184809746
4000,16,M4(2),0.1929971804950797
4000,16,M5(1),47.73748534755207
4000,16,M5(2),37.70917637114652
4000,16,M6(1),46.35880870083603
4000,16,M6(2),38.7442078303097
4000,16,M7(1),2.6141499939943813
4000,16,M7(2),2.6559298857255733
4000,16,M8(1),2.334181666107716
4000,16,M8(2),2.269919281900856
4000,32,C1(1),2.1004730744702584
4000,32,C1(2),2.317603427514213
4000,32,C2(1),1.8412661214586783
4000,32,C2(2),2.2072709481875923
4000,32,C3(1),8.548086124957145
4000,32,C3(2),
4000,32,C4(1),2.3801521493646023
4000,32,C4(2),2.1883741565770936
4000,32,C5(1),18.368342029377864
4000,32,C5(2),18.49863231420972
4000,32,C6(1),2.532387606550323
4000,32,C6(2),3.45111872799933
4000,32,C7(1),7.778288016615271
4000,32,C7(2),10.648344126423504
4000,32,C8(1),5.701778857752737
4000,32,C8(2),7.545404298259043
4000,32,M1(1),1.906878494035692
4000,32,M1(2),1.7151401508506787
4000,32,M2(1),
4000,32,M2(2),1.5884112720399286
4000,32,M3(1),0.1584411977123299
4000,32,M3(2),0.2322262990261582
4000,32,M4(1),5.322265672395679
4000,32,M4(2),0.1863658834558841
4000,32,M5(1),70.99884190499627
4000,32,M5(2),56.27234313828485
4000,32,M6(1),43.82065067000958
4000,32,M6(2),37.67465545490767
4000,32,M7(1),1.1206008676222012
4000,32,M7(2),1.1150576530626797
4000,32,M8(1),1.6794179322637588
4000,32,M8(2),1.6513413142776012
