date,run,ov,vgain,integrator,mask,width,intensity
15/10/2024,29953,"[2.5, 4.5]",2793,0,50,20,2200
15/10/2024,29955,"[2.5, 4.5]",2793,0,50,20,2800
15/10/2024,29958,"[2.5, 4.5]",2793,0,50,20,3400
15/10/2024,29960,"[2.5, 4.5]",2793,0,50,20,4000
15/10/2024,29962,"[2.5, 4.5]",2793,0,1,1,1400
15/10/2024,29963,"[2.5, 4.5]",2793,0,1,1,1500
15/10/2024,29964,"[2.5, 4.5]",2793,0,1,1,1600
15/10/2024,29965,"[2.5, 4.5]",2793,0,1,1,1800
16/10/2024,30215,"[2.5, 4.5]",2793,0,1,1,2000
15/10/2024,29967,"[2.5, 4.5]",2793,0,1,1,2200
15/10/2024,29968,"[3.0, 7.0]",2793,0,50,20,1400
15/10/2024,29969,"[3.0, 7.0]",2793,0,50,20,1800
15/10/2024,29970,"[3.0, 7.0]",2793,0,50,20,2200
15/10/2024,29971,"[3.0, 7.0]",2793,0,50,20,2800
15/10/2024,29972,"[3.0, 7.0]",2793,0,50,20,1400
15/10/2024,29973,"[3.0, 7.0]",2793,0,50,20,1800
15/10/2024,29974,"[3.0, 7.0]",2793,0,50,20,2200
15/10/2024,29975,"[3.0, 7.0]",2793,0,50,20,2800
15/10/2024,29976,"[3.0, 7.0]",2793,0,50,20,3400
15/10/2024,29977,"[3.0, 7.0]",2793,0,50,20,4000
15/10/2024,29978,"[3.0, 7.0]",2793,0,1,1,1400
15/10/2024,29979,"[3.0, 7.0]",2793,0,1,1,1500
15/10/2024,29980,"[3.0, 7.0]",2793,0,1,1,1600
15/10/2024,29981,"[3.0, 7.0]",2793,0,1,1,1800
16/10/2024,30216,"[3.0, 7.0]",2793,0,1,1,2000
15/10/2024,29983,"[3.0, 7.0]",2793,0,1,1,2200
15/10/2024,29984,"[2.0, 3.5]",2660,0,50,20,1400
15/10/2024,29985,"[2.0, 3.5]",2660,0,50,20,1800
15/10/2024,29986,"[2.0, 3.5]",2660,0,50,20,2200
15/10/2024,29987,"[2.0, 3.5]",2660,0,50,20,2800
15/10/2024,29988,"[2.0, 3.5]",2660,0,50,20,1400
15/10/2024,29989,"[2.0, 3.5]",2660,0,50,20,1800
15/10/2024,29990,"[2.0, 3.5]",2660,0,50,20,2200
15/10/2024,29991,"[2.0, 3.5]",2660,0,50,20,2800
15/10/2024,29993,"[2.0, 3.5]",2660,0,50,20,3400
15/10/2024,29995,"[2.0, 3.5]",2660,0,50,20,4000
15/10/2024,29996,"[2.0, 3.5]",2660,0,1,1,1400
15/10/2024,29997,"[2.0, 3.5]",2660,0,1,1,1500
15/10/2024,29998,"[2.0, 3.5]",2660,0,1,1,1600
15/10/2024,29999,"[2.0, 3.5]",2660,0,1,1,1800
16/10/2024,30217,"[2.0, 3.5]",2660,0,1,1,2000
15/10/2024,30002,"[2.0, 3.5]",2660,0,1,1,2200
15/10/2024,30003,"[2.5, 4.5]",2660,0,50,20,1400
15/10/2024,30004,"[2.5, 4.5]",2660,0,50,20,1800
15/10/2024,30005,"[2.5, 4.5]",2660,0,50,20,2200
15/10/2024,30006,"[2.5, 4.5]",2660,0,50,20,2800
15/10/2024,30007,"[2.5, 4.5]",2660,0,50,20,1400
15/10/2024,30008,"[2.5, 4.5]",2660,0,50,20,1800
15/10/2024,30009,"[2.5, 4.5]",2660,0,50,20,2200
15/10/2024,30010,"[2.5, 4.5]",2660,0,50,20,2800
15/10/2024,30011,"[2.5, 4.5]",2660,0,50,20,3400
15/10/2024,30013,"[2.5, 4.5]",2660,0,50,20,4000
15/10/2024,30014,"[2.5, 4.5]",2660,0,1,1,1400
15/10/2024,30015,"[2.5, 4.5]",2660,0,1,1,1500
15/10/2024,30016,"[2.5, 4.5]",2660,0,1,1,1600
15/10/2024,30017,"[2.5, 4.5]",2660,0,1,1,1800
16/10/2024,30219,"[2.5, 4.5]",2660,0,1,1,2000
15/10/2024,30019,"[2.5, 4.5]",2660,0,1,1,2200
18/10/2024,31101,"[3.0, 7.0]",2660,0,50,20,1400
15/10/2024,30021,"[3.0, 7.0]",2660,0,50,20,1800
15/10/2024,30022,"[3.0, 7.0]",2660,0,50,20,2200
15/10/2024,30023,"[3.0, 7.0]",2660,0,50,20,2800
15/10/2024,30024,"[3.0, 7.0]",2660,0,50,20,1400
15/10/2024,30025,"[3.0, 7.0]",2660,0,50,20,1800
15/10/2024,30026,"[3.0, 7.0]",2660,0,50,20,2200
15/10/2024,30027,"[3.0, 7.0]",2660,0,50,20,2800
15/10/2024,30028,"[3.0, 7.0]",2660,0,50,20,3400
15/10/2024,30029,"[3.0, 7.0]",2660,0,50,20,4000
15/10/2024,30030,"[3.0, 7.0]",2660,0,1,1,1400
15/10/2024,30031,"[3.0, 7.0]",2660,0,1,1,1500
15/10/2024,30032,"[3.0, 7.0]",2660,0,1,1,1600
