Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
32002,11121,1400,FBK,6.25,155.3,3.32,550,225,252,8219.80399919734,208.6486617183751,9716.881703518504,302.4733155636614,2.0163030510864766,0.0035266334670553956,0.09400292939356332,0.002408734327770057,0.9417045771311277,0.002324591447175728,0.7227266953143128,0.5420450214857346,2.0246727696194275
32003,11121,1500,FBK,6.25,155.3,3.32,550,224,251,5985.267976422219,178.52557645841398,8936.485519561209,290.85782944689396,2.0361376918475216,0.004818061531565387,0.10746071287108597,0.0038406586846302312,0.9752506653917603,0.0009184935972658126,,0.558588599638187,2.0308760614458934
32004,11121,1600,FBK,6.25,155.3,3.32,550,230,250,5704.195437865068,173.89546702280276,9471.650417272851,298.77388183156415,,,,,,,0.5794577972850448,0.5794577972850448,2.045875930479311
32005,11121,1800,FBK,6.25,155.3,3.32,550,232,249,6604.739250074595,377.5678122076626,9669.683607952347,609.132811507612,,,,,,,0.0,,
32014,11121,1400,FBK,6.25,155.3,3.32,600,228,254,7369.044456852296,197.51112329920792,8244.294947896056,278.5489127421704,2.249611732964183,0.0041733295190349295,0.09665770899946849,0.002489455119645559,0.9492918437499503,0.0023351805018522187,0.4125951088742057,0.5042829108462512,2.2586030347651564
32015,11121,1500,FBK,6.25,155.3,3.32,600,228,252,5765.991354888731,174.72701075420397,8584.567477863111,284.26343489594865,2.252788321339635,0.00531454026504341,0.10175815383014765,0.003573585416160152,0.9769410237327021,0.0009042817990299601,0.3989863814166972,0.4787836577000366,2.24410253650725
32016,11121,1600,FBK,6.25,155.3,3.32,600,229,251,5111.227088129262,164.6215398928944,8407.956777521995,281.51921529308703,,,,,,,0.4632902742552254,0.4632902742552254,2.227280737114844
32017,11121,1800,FBK,6.25,155.3,3.32,600,231,250,5400.987772037958,168.20692107196922,8325.8679912955,278.4586808168063,,,,,,,,,
32026,11121,1400,FBK,6.25,155.3,3.32,650,228,251,6577.087790078167,186.62629782258884,7757.409681910052,270.24217153860843,2.4234653786014517,0.004496993904616442,0.0846931069965986,0.002351017624225238,0.9507653338722254,0.00237547754698042,0.3684945968084583,0.41455642140951543,2.432121737674037
32027,11121,1500,FBK,6.25,155.3,3.32,650,225,252,5186.205523101434,165.66725849913803,7564.098395598281,266.76518206291524,2.410987852829301,0.004822402796997638,0.08668125841343952,0.0028088389597517582,0.9770888362614712,0.0009008546349713598,0.32077918095763547,0.4009739761970441,2.406953416537371
32028,11121,1600,FBK,6.25,155.3,3.32,650,232,251,4261.766567020883,301.3524039374579,7841.650483318423,545.032385256506,,,,,,,0.47149471507856555,0.47149471507856555,2.358237500584298
32029,11121,1800,FBK,6.25,155.3,3.32,650,232,249,4670.065090329437,157.249271140691,7530.465250216275,266.242152195879,,,,,,,,,
